HS_CODE,COMMODITY_DESC,GEOGRAPHY_CODE,GEOGRAPHY_DESC,ATTRIBUTE_DESC,ATTRIBUTE_UNIT,YEAR_ID,TIMEPERIOD_ID,AMOUNT
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2015,10,782142
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2015,11,283298
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2015,12,497804
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2016,1,234723
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2016,2,278298
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2016,3,414412
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2016,4,156924
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2015,1,4344227
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2015,2,2571300
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2015,3,3721227
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2015,4,3026632
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2015,5,3763037
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2015,6,3766224
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2015,7,3717884
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2015,8,1916915
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2015,9,1265074
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2015,10,2996265
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2015,11,1062343
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2015,12,1751926
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2016,1,895239
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2016,2,1037842
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2016,3,1574714
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,VLU,2016,4,581158
1604114010,"CHUM (DOG) SALMON, NOT IN OIL, CANNED",1,,US Export,QTY,2015,1,125881
1604114010,"CHUM (DOG) SALMON, NOT IN OIL, CANNED",1,,US Export,QTY,2015,2,124638
1604114010,"CHUM (DOG) SALMON, NOT IN OIL, CANNED",1,,US Export,QTY,2015,3,55500
1604114010,"CHUM (DOG) SALMON, NOT IN OIL, CANNED",1,,US Export,QTY,2015,4,38216
1604114010,"CHUM (DOG) SALMON, NOT IN OIL, CANNED",1,,US Export,QTY,2015,5,15905
